연번,항목명,코드값,데이터변수명,코드값 설명
,,5,온라인 게시판 의견 개진(댓글 작성 포함),
52.0,커뮤니케이션 이용시간_주평균 시간(시간),-,-,Y11_01A_1
53.0,커뮤니케이션 이용시간_주평균 시간(분),-,-,Y11_01A_2
54.0,인터넷 이용목적_자료 및 정보획득_1),1,"건강, 의료정보(질병 현황, 병원정보, 증상, 영양정보 검색 등 포함)",Y11_02_1_1
,,2,"상품, 서비스 등 정보",
,,3,"신문, 잡지 등 뉴스(기사) 읽기",
,,4,"여행, 교통, 숙박, 위치정보",
,,5,"소프트웨어(게임 제외)·애플리케이션(앱) 다운로드, 업데이트",
55.0,인터넷 이용목적_자료 및 정보획득_2),1,"건강, 의료정보(질병 현황, 병원정보, 증상, 영양정보 검색 등 포함)",Y11_02_1_2
,,2,"상품, 서비스 등 정보",
,,3,"신문, 잡지 등 뉴스(기사) 읽기",
,,4,"여행, 교통, 숙박, 위치정보",
,,5,"소프트웨어(게임 제외)·애플리케이션(앱) 다운로드, 업데이트",
56.0,인터넷 이용목적_자료 및 정보획득_3),1,"건강, 의료정보(질병 현황, 병원정보, 증상, 영양정보 검색 등 포함)",Y11_02_1_3
,,2,"상품, 서비스 등 정보",
,,3,"신문, 잡지 등 뉴스(기사) 읽기",
,,4,"여행, 교통, 숙박, 위치정보",
,,5,"소프트웨어(게임 제외)·애플리케이션(앱) 다운로드, 업데이트",
57.0,인터넷 이용목적_자료 및 정보획득_4),1,"건강, 의료정보(질병 현황, 병원정보, 증상, 영양정보 검색 등 포함)",Y11_02_1_4
,,2,"상품, 서비스 등 정보",
,,3,"신문, 잡지 등 뉴스(기사) 읽기",
,,4,"여행, 교통, 숙박, 위치정보",
,,5,"소프트웨어(게임 제외)·애플리케이션(앱) 다운로드, 업데이트",
58.0,인터넷 이용목적_자료 및 정보획득_5),1,"건강, 의료정보(질병 현황, 병원정보, 증상, 영양정보 검색 등 포함)",Y11_02_1_5
,,2,"상품, 서비스 등 정보",
,,3,"신문, 잡지 등 뉴스(기사) 읽기",
,,4,"여행, 교통, 숙박, 위치정보",
,,5,"소프트웨어(게임 제외)·애플리케이션(앱) 다운로드, 업데이트",
59.0,정보 검색 시 주 이용 사이트/앱_1순위,1,"포털사이트(네이버, 다음, 구글 등)",Y11_02A_1순위
,,2,동영상서비스(유튜브 등),
,,3,"SNS(페이스북, 인스타그램, 네이버밴드, X(트위터) 등)",
,,4,"메신저(카카오톡, 페이스북 메신저, 라인 등)",
,,5,"생성형 AI 기반 정보검색 서비스(챗지피티(ChatGPT), 제미나이(Gemini), 코파일럿(Copilot),클로바 X(CLOVA X) 등)",
,,6,기타,
60.0,정보 검색 시 주 이용 사이트/앱_2순위,1,"포털사이트(네이버, 다음, 구글 등)",Y11_02A_2순위
,,2,동영상서비스(유튜브 등),
,,3,"SNS(페이스북, 인스타그램, 네이버밴드, X(트위터) 등)",
,,4,"메신저(카카오톡, 페이스북 메신저, 라인 등)",
,,5,"생성형 AI 기반 정보검색 서비스(챗지피티(ChatGPT), 제미나이(Gemini), 코파일럿(Copilot),클로바 X(CLOVA X) 등)",
,,6,기타,
61.0,정보 검색 시 주 이용 사이트/앱_기타,-,-,Y11_02A_6_TXT
62.0,정보 검색 시 신뢰 사이트/앱_1순위,1,"포털사이트(네이버, 다음, 구글 등)",Y11_02B_1순위
,,2,동영상서비스(유튜브 등),
,,3,"SNS(페이스북, 인스타그램, 네이버밴드, X(트위터) 등)",
,,4,"메신저(카카오톡, 페이스북 메신저, 라인 등)",
,,5,생성형 AI 기반 정보검색 서비스,
,,6,기타,
63.0,정보 검색 시 신뢰 사이트/앱_2순위,1,"포털사이트(네이버, 다음, 구글 등)",Y11_02B_2순위
,,2,동영상서비스(유튜브 등),
,,3,"SNS(페이스북, 인스타그램, 네이버밴드, X(트위터) 등)",
,,4,"메신저(카카오톡, 페이스북 메신저, 라인 등)",
,,5,생성형 AI 기반 정보검색 서비스,
,,6,기타,
64.0,정보 검색 시 신뢰 사이트/앱_기타,-,-,Y11_02B_6_TXT
