연번,항목명,코드값,데이터변수명,코드값 설명
,,17,"도서, 잡지, 신문 (웹툰, 만화 등 제외)",
,,18,"영화(티켓), 전시, 문화공연",
,,19,"영화(콘텐츠), 동영상, 이미지",
,,20,음악(음원 사이트 이용 등),
,,21,유료 콘텐츠 이모티콘,
,,22,유료 콘텐츠 웹툰·만화,
,,23,유료 콘텐츠 게임 내 유료 결제 아이템,
,,24,유료 콘텐츠 휴대폰 통화 연결음,
,,25,유료 콘텐츠 성인용 콘텐츠,
,,26,기타,
269.0,인터넷쇼핑 구매품목_2),1,"의류, 신발, 스포츠용품, 액세서리",Y34_1_2
,,2,생활/주방 용품,
,,3,유·아동 용품,
,,4,"식재료, 음식",
,,5,건강관련제품,
,,6,화장품,
,,7,"가전, 전자제품(TV, 냉장고, 세탁기 등)",
,,8,"가구, 인테리어 용품",
,,9,컴퓨터 및 컴퓨터 주변기기,
,,10,"모바일, PC, 콘솔 게임 소프트웨어",
,,11,소프트웨어(게임 제외),
,,12,구독형 소프트웨어 서비스,
,,13,교환권,
,,14,금융 상품(보험가입 및 주식거래),
,,15,교육,
,,16,"여행 상품(패키지, 숙소, 교통, 렌터카 등)",
,,17,"도서, 잡지, 신문 (웹툰, 만화 등 제외)",
,,18,"영화(티켓), 전시, 문화공연",
,,19,"영화(콘텐츠), 동영상, 이미지",
,,20,음악(음원 사이트 이용 등),
,,21,유료 콘텐츠 이모티콘,
,,22,유료 콘텐츠 웹툰·만화,
,,23,유료 콘텐츠 게임 내 유료 결제 아이템,
,,24,유료 콘텐츠 휴대폰 통화 연결음,
,,25,유료 콘텐츠 성인용 콘텐츠,
,,26,기타,
270.0,인터넷쇼핑 구매품목_3),1,"의류, 신발, 스포츠용품, 액세서리",Y34_1_3
,,2,생활/주방 용품,
,,3,유·아동 용품,
,,4,"식재료, 음식",
,,5,건강관련제품,
,,6,화장품,
,,7,"가전, 전자제품(TV, 냉장고, 세탁기 등)",
,,8,"가구, 인테리어 용품",
,,9,컴퓨터 및 컴퓨터 주변기기,
,,10,"모바일, PC, 콘솔 게임 소프트웨어",
,,11,소프트웨어(게임 제외),
,,12,구독형 소프트웨어 서비스,
,,13,교환권,
,,14,금융 상품(보험가입 및 주식거래),
,,15,교육,
,,16,"여행 상품(패키지, 숙소, 교통, 렌터카 등)",
,,17,"도서, 잡지, 신문 (웹툰, 만화 등 제외)",
,,18,"영화(티켓), 전시, 문화공연",
,,19,"영화(콘텐츠), 동영상, 이미지",
,,20,음악(음원 사이트 이용 등),
,,21,유료 콘텐츠 이모티콘,
,,22,유료 콘텐츠 웹툰·만화,
,,23,유료 콘텐츠 게임 내 유료 결제 아이템,
,,24,유료 콘텐츠 휴대폰 통화 연결음,
,,25,유료 콘텐츠 성인용 콘텐츠,
,,26,기타,
271.0,인터넷쇼핑 구매품목_4),1,"의류, 신발, 스포츠용품, 액세서리",Y34_1_4
,,2,생활/주방 용품,
,,3,유·아동 용품,
,,4,"식재료, 음식",
,,5,건강관련제품,
,,6,화장품,
,,7,"가전, 전자제품(TV, 냉장고, 세탁기 등)",
,,8,"가구, 인테리어 용품",
,,9,컴퓨터 및 컴퓨터 주변기기,
,,10,"모바일, PC, 콘솔 게임 소프트웨어",
,,11,소프트웨어(게임 제외),
,,12,구독형 소프트웨어 서비스,
,,13,교환권,
,,14,금융 상품(보험가입 및 주식거래),
,,15,교육,
,,16,"여행 상품(패키지, 숙소, 교통, 렌터카 등)",
,,17,"도서, 잡지, 신문 (웹툰, 만화 등 제외)",
,,18,"영화(티켓), 전시, 문화공연",
,,19,"영화(콘텐츠), 동영상, 이미지",
,,20,음악(음원 사이트 이용 등),
,,21,유료 콘텐츠 이모티콘,
,,22,유료 콘텐츠 웹툰·만화,
,,23,유료 콘텐츠 게임 내 유료 결제 아이템,
,,24,유료 콘텐츠 휴대폰 통화 연결음,
,,25,유료 콘텐츠 성인용 콘텐츠,
,,26,기타,
272.0,인터넷쇼핑 구매품목_5),1,"의류, 신발, 스포츠용품, 액세서리",Y34_1_5
,,2,생활/주방 용품,
,,3,유·아동 용품,
,,4,"식재료, 음식",
,,5,건강관련제품,
,,6,화장품,
,,7,"가전, 전자제품(TV, 냉장고, 세탁기 등)",
,,8,"가구, 인테리어 용품",
,,9,컴퓨터 및 컴퓨터 주변기기,
,,10,"모바일, PC, 콘솔 게임 소프트웨어",
,,11,소프트웨어(게임 제외),
,,12,구독형 소프트웨어 서비스,
,,13,교환권,
,,14,금융 상품(보험가입 및 주식거래),
,,15,교육,
,,16,"여행 상품(패키지, 숙소, 교통, 렌터카 등)",
,,17,"도서, 잡지, 신문 (웹툰, 만화 등 제외)",
,,18,"영화(티켓), 전시, 문화공연",
,,19,"영화(콘텐츠), 동영상, 이미지",
,,20,음악(음원 사이트 이용 등),
,,21,유료 콘텐츠 이모티콘,
,,22,유료 콘텐츠 웹툰·만화,
,,23,유료 콘텐츠 게임 내 유료 결제 아이템,
,,24,유료 콘텐츠 휴대폰 통화 연결음,
,,25,유료 콘텐츠 성인용 콘텐츠,
,,26,기타,
273.0,인터넷쇼핑 구매품목_6),1,"의류, 신발, 스포츠용품, 액세서리",Y34_1_6
,,2,생활/주방 용품,
,,3,유·아동 용품,
,,4,"식재료, 음식",
,,5,건강관련제품,
,,6,화장품,
,,7,"가전, 전자제품(TV, 냉장고, 세탁기 등)",
,,8,"가구, 인테리어 용품",
,,9,컴퓨터 및 컴퓨터 주변기기,
,,10,"모바일, PC, 콘솔 게임 소프트웨어",
,,11,소프트웨어(게임 제외),
,,12,구독형 소프트웨어 서비스,
,,13,교환권,
,,14,금융 상품(보험가입 및 주식거래),
,,15,교육,
,,16,"여행 상품(패키지, 숙소, 교통, 렌터카 등)",
,,17,"도서, 잡지, 신문 (웹툰, 만화 등 제외)",
,,18,"영화(티켓), 전시, 문화공연",
,,19,"영화(콘텐츠), 동영상, 이미지",
,,20,음악(음원 사이트 이용 등),
,,21,유료 콘텐츠 이모티콘,
,,22,유료 콘텐츠 웹툰·만화,
,,23,유료 콘텐츠 게임 내 유료 결제 아이템,
,,24,유료 콘텐츠 휴대폰 통화 연결음,
,,25,유료 콘텐츠 성인용 콘텐츠,
,,26,기타,
274.0,인터넷쇼핑 구매품목_7),1,"의류, 신발, 스포츠용품, 액세서리",Y34_1_7
,,2,생활/주방 용품,
,,3,유·아동 용품,
,,4,"식재료, 음식",
,,5,건강관련제품,
,,6,화장품,
,,7,"가전, 전자제품(TV, 냉장고, 세탁기 등)",
,,8,"가구, 인테리어 용품",
,,9,컴퓨터 및 컴퓨터 주변기기,
,,10,"모바일, PC, 콘솔 게임 소프트웨어",
,,11,소프트웨어(게임 제외),
,,12,구독형 소프트웨어 서비스,
,,13,교환권,
,,14,금융 상품(보험가입 및 주식거래),
,,15,교육,
,,16,"여행 상품(패키지, 숙소, 교통, 렌터카 등)",
,,17,"도서, 잡지, 신문 (웹툰, 만화 등 제외)",
,,18,"영화(티켓), 전시, 문화공연",
,,19,"영화(콘텐츠), 동영상, 이미지",
,,20,음악(음원 사이트 이용 등),
,,21,유료 콘텐츠 이모티콘,
,,22,유료 콘텐츠 웹툰·만화,
,,23,유료 콘텐츠 게임 내 유료 결제 아이템,
,,24,유료 콘텐츠 휴대폰 통화 연결음,
,,25,유료 콘텐츠 성인용 콘텐츠,
,,26,기타,
275.0,인터넷쇼핑 구매품목_8),1,"의류, 신발, 스포츠용품, 액세서리",Y34_1_8
,,2,생활/주방 용품,
,,3,유·아동 용품,
,,4,"식재료, 음식",
,,5,건강관련제품,
,,6,화장품,
,,7,"가전, 전자제품(TV, 냉장고, 세탁기 등)",
,,8,"가구, 인테리어 용품",
,,9,컴퓨터 및 컴퓨터 주변기기,
,,10,"모바일, PC, 콘솔 게임 소프트웨어",
,,11,소프트웨어(게임 제외),
,,12,구독형 소프트웨어 서비스,
,,13,교환권,
,,14,금융 상품(보험가입 및 주식거래),
,,15,교육,
,,16,"여행 상품(패키지, 숙소, 교통, 렌터카 등)",
,,17,"도서, 잡지, 신문 (웹툰, 만화 등 제외)",
,,18,"영화(티켓), 전시, 문화공연",
,,19,"영화(콘텐츠), 동영상, 이미지",
,,20,음악(음원 사이트 이용 등),
,,21,유료 콘텐츠 이모티콘,
,,22,유료 콘텐츠 웹툰·만화,
,,23,유료 콘텐츠 게임 내 유료 결제 아이템,
,,24,유료 콘텐츠 휴대폰 통화 연결음,
,,25,유료 콘텐츠 성인용 콘텐츠,
,,26,기타,
276.0,인터넷쇼핑 구매품목_9),1,"의류, 신발, 스포츠용품, 액세서리",Y34_1_9
,,2,생활/주방 용품,
,,3,유·아동 용품,
,,4,"식재료, 음식",
,,5,건강관련제품,
,,6,화장품,
,,7,"가전, 전자제품(TV, 냉장고, 세탁기 등)",
,,8,"가구, 인테리어 용품",
,,9,컴퓨터 및 컴퓨터 주변기기,
,,10,"모바일, PC, 콘솔 게임 소프트웨어",
,,11,소프트웨어(게임 제외),
,,12,구독형 소프트웨어 서비스,
,,13,교환권,
,,14,금융 상품(보험가입 및 주식거래),
,,15,교육,
,,16,"여행 상품(패키지, 숙소, 교통, 렌터카 등)",
,,17,"도서, 잡지, 신문 (웹툰, 만화 등 제외)",
,,18,"영화(티켓), 전시, 문화공연",
,,19,"영화(콘텐츠), 동영상, 이미지",
,,20,음악(음원 사이트 이용 등),
,,21,유료 콘텐츠 이모티콘,
,,22,유료 콘텐츠 웹툰·만화,
,,23,유료 콘텐츠 게임 내 유료 결제 아이템,
,,24,유료 콘텐츠 휴대폰 통화 연결음,
,,25,유료 콘텐츠 성인용 콘텐츠,
,,26,기타,
277.0,인터넷쇼핑 구매품목_10),1,"의류, 신발, 스포츠용품, 액세서리",Y34_1_10
,,2,생활/주방 용품,
,,3,유·아동 용품,
,,4,"식재료, 음식",
,,5,건강관련제품,
,,6,화장품,
,,7,"가전, 전자제품(TV, 냉장고, 세탁기 등)",
,,8,"가구, 인테리어 용품",
,,9,컴퓨터 및 컴퓨터 주변기기,
,,10,"모바일, PC, 콘솔 게임 소프트웨어",
,,11,소프트웨어(게임 제외),
,,12,구독형 소프트웨어 서비스,
,,13,교환권,
,,14,금융 상품(보험가입 및 주식거래),
,,15,교육,
,,16,"여행 상품(패키지, 숙소, 교통, 렌터카 등)",
,,17,"도서, 잡지, 신문 (웹툰, 만화 등 제외)",
,,18,"영화(티켓), 전시, 문화공연",
,,19,"영화(콘텐츠), 동영상, 이미지",
,,20,음악(음원 사이트 이용 등),
,,21,유료 콘텐츠 이모티콘,
,,22,유료 콘텐츠 웹툰·만화,
,,23,유료 콘텐츠 게임 내 유료 결제 아이템,
,,24,유료 콘텐츠 휴대폰 통화 연결음,
,,25,유료 콘텐츠 성인용 콘텐츠,
,,26,기타,
278.0,인터넷쇼핑 구매품목_11),1,"의류, 신발, 스포츠용품, 액세서리",Y34_1_11
,,2,생활/주방 용품,
,,3,유·아동 용품,
,,4,"식재료, 음식",
,,5,건강관련제품,
,,6,화장품,
,,7,"가전, 전자제품(TV, 냉장고, 세탁기 등)",
,,8,"가구, 인테리어 용품",
,,9,컴퓨터 및 컴퓨터 주변기기,
,,10,"모바일, PC, 콘솔 게임 소프트웨어",
,,11,소프트웨어(게임 제외),
,,12,구독형 소프트웨어 서비스,
,,13,교환권,
,,14,금융 상품(보험가입 및 주식거래),
,,15,교육,
,,16,"여행 상품(패키지, 숙소, 교통, 렌터카 등)",
,,17,"도서, 잡지, 신문 (웹툰, 만화 등 제외)",
,,18,"영화(티켓), 전시, 문화공연",
,,19,"영화(콘텐츠), 동영상, 이미지",
,,20,음악(음원 사이트 이용 등),
,,21,유료 콘텐츠 이모티콘,
,,22,유료 콘텐츠 웹툰·만화,
,,23,유료 콘텐츠 게임 내 유료 결제 아이템,
,,24,유료 콘텐츠 휴대폰 통화 연결음,
,,25,유료 콘텐츠 성인용 콘텐츠,
,,26,기타,
279.0,인터넷쇼핑 구매품목_12),1,"의류, 신발, 스포츠용품, 액세서리",Y34_1_12
,,2,생활/주방 용품,
,,3,유·아동 용품,
,,4,"식재료, 음식",
,,5,건강관련제품,
,,6,화장품,
,,7,"가전, 전자제품(TV, 냉장고, 세탁기 등)",
,,8,"가구, 인테리어 용품",
,,9,컴퓨터 및 컴퓨터 주변기기,
,,10,"모바일, PC, 콘솔 게임 소프트웨어",
,,11,소프트웨어(게임 제외),
,,12,구독형 소프트웨어 서비스,
,,13,교환권,
,,14,금융 상품(보험가입 및 주식거래),
,,15,교육,
,,16,"여행 상품(패키지, 숙소, 교통, 렌터카 등)",
,,17,"도서, 잡지, 신문 (웹툰, 만화 등 제외)",
,,18,"영화(티켓), 전시, 문화공연",
,,19,"영화(콘텐츠), 동영상, 이미지",
,,20,음악(음원 사이트 이용 등),
,,21,유료 콘텐츠 이모티콘,
,,22,유료 콘텐츠 웹툰·만화,
,,23,유료 콘텐츠 게임 내 유료 결제 아이템,
,,24,유료 콘텐츠 휴대폰 통화 연결음,
,,25,유료 콘텐츠 성인용 콘텐츠,
,,26,기타,
280.0,인터넷쇼핑 구매품목_13),1,"의류, 신발, 스포츠용품, 액세서리",Y34_1_13
,,2,생활/주방 용품,
,,3,유·아동 용품,
,,4,"식재료, 음식",
,,5,건강관련제품,
,,6,화장품,
,,7,"가전, 전자제품(TV, 냉장고, 세탁기 등)",
,,8,"가구, 인테리어 용품",
,,9,컴퓨터 및 컴퓨터 주변기기,
,,10,"모바일, PC, 콘솔 게임 소프트웨어",
,,11,소프트웨어(게임 제외),
,,12,구독형 소프트웨어 서비스,
,,13,교환권,
,,14,금융 상품(보험가입 및 주식거래),
,,15,교육,
,,16,"여행 상품(패키지, 숙소, 교통, 렌터카 등)",
,,17,"도서, 잡지, 신문 (웹툰, 만화 등 제외)",
,,18,"영화(티켓), 전시, 문화공연",
,,19,"영화(콘텐츠), 동영상, 이미지",
,,20,음악(음원 사이트 이용 등),
,,21,유료 콘텐츠 이모티콘,
,,22,유료 콘텐츠 웹툰·만화,
,,23,유료 콘텐츠 게임 내 유료 결제 아이템,
,,24,유료 콘텐츠 휴대폰 통화 연결음,
,,25,유료 콘텐츠 성인용 콘텐츠,
,,26,기타,
281.0,인터넷쇼핑 구매품목_14),1,"의류, 신발, 스포츠용품, 액세서리",Y34_1_14
,,2,생활/주방 용품,
,,3,유·아동 용품,
,,4,"식재료, 음식",
,,5,건강관련제품,
,,6,화장품,
,,7,"가전, 전자제품(TV, 냉장고, 세탁기 등)",
,,8,"가구, 인테리어 용품",
,,9,컴퓨터 및 컴퓨터 주변기기,
,,10,"모바일, PC, 콘솔 게임 소프트웨어",
,,11,소프트웨어(게임 제외),
,,12,구독형 소프트웨어 서비스,
,,13,교환권,
,,14,금융 상품(보험가입 및 주식거래),
,,15,교육,
,,16,"여행 상품(패키지, 숙소, 교통, 렌터카 등)",
,,17,"도서, 잡지, 신문 (웹툰, 만화 등 제외)",
,,18,"영화(티켓), 전시, 문화공연",
,,19,"영화(콘텐츠), 동영상, 이미지",
,,20,음악(음원 사이트 이용 등),
,,21,유료 콘텐츠 이모티콘,
,,22,유료 콘텐츠 웹툰·만화,
,,23,유료 콘텐츠 게임 내 유료 결제 아이템,
,,24,유료 콘텐츠 휴대폰 통화 연결음,
,,25,유료 콘텐츠 성인용 콘텐츠,
,,26,기타,
282.0,인터넷쇼핑 구매품목_15),1,"의류, 신발, 스포츠용품, 액세서리",Y34_1_15
,,2,생활/주방 용품,
,,3,유·아동 용품,
,,4,"식재료, 음식",
,,5,건강관련제품,
,,6,화장품,
,,7,"가전, 전자제품(TV, 냉장고, 세탁기 등)",
,,8,"가구, 인테리어 용품",
,,9,컴퓨터 및 컴퓨터 주변기기,
,,10,"모바일, PC, 콘솔 게임 소프트웨어",
,,11,소프트웨어(게임 제외),
,,12,구독형 소프트웨어 서비스,
,,13,교환권,
,,14,금융 상품(보험가입 및 주식거래),
,,15,교육,
,,16,"여행 상품(패키지, 숙소, 교통, 렌터카 등)",
,,17,"도서, 잡지, 신문 (웹툰, 만화 등 제외)",
,,18,"영화(티켓), 전시, 문화공연",
,,19,"영화(콘텐츠), 동영상, 이미지",
,,20,음악(음원 사이트 이용 등),
,,21,유료 콘텐츠 이모티콘,
,,22,유료 콘텐츠 웹툰·만화,
,,23,유료 콘텐츠 게임 내 유료 결제 아이템,
,,24,유료 콘텐츠 휴대폰 통화 연결음,
,,25,유료 콘텐츠 성인용 콘텐츠,
,,26,기타,
283.0,인터넷쇼핑 구매품목_16),1,"의류, 신발, 스포츠용품, 액세서리",Y34_1_16
,,2,생활/주방 용품,
,,3,유·아동 용품,
,,4,"식재료, 음식",
,,5,건강관련제품,
,,6,화장품,
,,7,"가전, 전자제품(TV, 냉장고, 세탁기 등)",
,,8,"가구, 인테리어 용품",
,,9,컴퓨터 및 컴퓨터 주변기기,
,,10,"모바일, PC, 콘솔 게임 소프트웨어",
,,11,소프트웨어(게임 제외),
,,12,구독형 소프트웨어 서비스,
,,13,교환권,
,,14,금융 상품(보험가입 및 주식거래),
,,15,교육,
,,16,"여행 상품(패키지, 숙소, 교통, 렌터카 등)",
,,17,"도서, 잡지, 신문 (웹툰, 만화 등 제외)",
,,18,"영화(티켓), 전시, 문화공연",
,,19,"영화(콘텐츠), 동영상, 이미지",
,,20,음악(음원 사이트 이용 등),
,,21,유료 콘텐츠 이모티콘,
,,22,유료 콘텐츠 웹툰·만화,
,,23,유료 콘텐츠 게임 내 유료 결제 아이템,
,,24,유료 콘텐츠 휴대폰 통화 연결음,
,,25,유료 콘텐츠 성인용 콘텐츠,
,,26,기타,
284.0,인터넷쇼핑 구매품목_17),1,"의류, 신발, 스포츠용품, 액세서리",Y34_1_17
,,2,생활/주방 용품,
,,3,유·아동 용품,
,,4,"식재료, 음식",
,,5,건강관련제품,
,,6,화장품,
,,7,"가전, 전자제품(TV, 냉장고, 세탁기 등)",
,,8,"가구, 인테리어 용품",
,,9,컴퓨터 및 컴퓨터 주변기기,
,,10,"모바일, PC, 콘솔 게임 소프트웨어",
,,11,소프트웨어(게임 제외),
,,12,구독형 소프트웨어 서비스,
,,13,교환권,
,,14,금융 상품(보험가입 및 주식거래),
,,15,교육,
,,16,"여행 상품(패키지, 숙소, 교통, 렌터카 등)",
,,17,"도서, 잡지, 신문 (웹툰, 만화 등 제외)",
,,18,"영화(티켓), 전시, 문화공연",
,,19,"영화(콘텐츠), 동영상, 이미지",
,,20,음악(음원 사이트 이용 등),
,,21,유료 콘텐츠 이모티콘,
,,22,유료 콘텐츠 웹툰·만화,
,,23,유료 콘텐츠 게임 내 유료 결제 아이템,
,,24,유료 콘텐츠 휴대폰 통화 연결음,
,,25,유료 콘텐츠 성인용 콘텐츠,
,,26,기타,
285.0,인터넷쇼핑 구매품목_18),1,"의류, 신발, 스포츠용품, 액세서리",Y34_1_18
,,2,생활/주방 용품,
,,3,유·아동 용품,
,,4,"식재료, 음식",
,,5,건강관련제품,
,,6,화장품,
,,7,"가전, 전자제품(TV, 냉장고, 세탁기 등)",
,,8,"가구, 인테리어 용품",
,,9,컴퓨터 및 컴퓨터 주변기기,
,,10,"모바일, PC, 콘솔 게임 소프트웨어",
,,11,소프트웨어(게임 제외),
,,12,구독형 소프트웨어 서비스,
,,13,교환권,
,,14,금융 상품(보험가입 및 주식거래),
,,15,교육,
,,16,"여행 상품(패키지, 숙소, 교통, 렌터카 등)",
,,17,"도서, 잡지, 신문 (웹툰, 만화 등 제외)",
,,18,"영화(티켓), 전시, 문화공연",
,,19,"영화(콘텐츠), 동영상, 이미지",
,,20,음악(음원 사이트 이용 등),
,,21,유료 콘텐츠 이모티콘,
,,22,유료 콘텐츠 웹툰·만화,
,,23,유료 콘텐츠 게임 내 유료 결제 아이템,
,,24,유료 콘텐츠 휴대폰 통화 연결음,
,,25,유료 콘텐츠 성인용 콘텐츠,
,,26,기타,
286.0,인터넷쇼핑 구매품목_19),1,"의류, 신발, 스포츠용품, 액세서리",Y34_1_19
,,2,생활/주방 용품,
,,3,유·아동 용품,
,,4,"식재료, 음식",
,,5,건강관련제품,
,,6,화장품,
,,7,"가전, 전자제품(TV, 냉장고, 세탁기 등)",
,,8,"가구, 인테리어 용품",
,,9,컴퓨터 및 컴퓨터 주변기기,
,,10,"모바일, PC, 콘솔 게임 소프트웨어",
,,11,소프트웨어(게임 제외),
,,12,구독형 소프트웨어 서비스,
,,13,교환권,
,,14,금융 상품(보험가입 및 주식거래),
,,15,교육,
,,16,"여행 상품(패키지, 숙소, 교통, 렌터카 등)",
,,17,"도서, 잡지, 신문 (웹툰, 만화 등 제외)",
,,18,"영화(티켓), 전시, 문화공연",
,,19,"영화(콘텐츠), 동영상, 이미지",
,,20,음악(음원 사이트 이용 등),
,,21,유료 콘텐츠 이모티콘,
,,22,유료 콘텐츠 웹툰·만화,
,,23,유료 콘텐츠 게임 내 유료 결제 아이템,
,,24,유료 콘텐츠 휴대폰 통화 연결음,
,,25,유료 콘텐츠 성인용 콘텐츠,
,,26,기타,
287.0,인터넷쇼핑 구매품목_20),1,"의류, 신발, 스포츠용품, 액세서리",Y34_1_20
,,2,생활/주방 용품,
,,3,유·아동 용품,
,,4,"식재료, 음식",
,,5,건강관련제품,
,,6,화장품,
,,7,"가전, 전자제품(TV, 냉장고, 세탁기 등)",
,,8,"가구, 인테리어 용품",
,,9,컴퓨터 및 컴퓨터 주변기기,
,,10,"모바일, PC, 콘솔 게임 소프트웨어",
,,11,소프트웨어(게임 제외),
,,12,구독형 소프트웨어 서비스,
,,13,교환권,
,,14,금융 상품(보험가입 및 주식거래),
,,15,교육,
,,16,"여행 상품(패키지, 숙소, 교통, 렌터카 등)",
,,17,"도서, 잡지, 신문 (웹툰, 만화 등 제외)",
,,18,"영화(티켓), 전시, 문화공연",
,,19,"영화(콘텐츠), 동영상, 이미지",
,,20,음악(음원 사이트 이용 등),
,,21,유료 콘텐츠 이모티콘,
,,22,유료 콘텐츠 웹툰·만화,
,,23,유료 콘텐츠 게임 내 유료 결제 아이템,
,,24,유료 콘텐츠 휴대폰 통화 연결음,
,,25,유료 콘텐츠 성인용 콘텐츠,
,,26,기타,
288.0,인터넷쇼핑 구매품목_21),1,"의류, 신발, 스포츠용품, 액세서리",Y34_1_21
,,2,생활/주방 용품,
,,3,유·아동 용품,
,,4,"식재료, 음식",
,,5,건강관련제품,
,,6,화장품,
,,7,"가전, 전자제품(TV, 냉장고, 세탁기 등)",
,,8,"가구, 인테리어 용품",
,,9,컴퓨터 및 컴퓨터 주변기기,
,,10,"모바일, PC, 콘솔 게임 소프트웨어",
,,11,소프트웨어(게임 제외),
,,12,구독형 소프트웨어 서비스,
,,13,교환권,
,,14,금융 상품(보험가입 및 주식거래),
,,15,교육,
,,16,"여행 상품(패키지, 숙소, 교통, 렌터카 등)",
,,17,"도서, 잡지, 신문 (웹툰, 만화 등 제외)",
,,18,"영화(티켓), 전시, 문화공연",
,,19,"영화(콘텐츠), 동영상, 이미지",
,,20,음악(음원 사이트 이용 등),
,,21,유료 콘텐츠 이모티콘,
,,22,유료 콘텐츠 웹툰·만화,
,,23,유료 콘텐츠 게임 내 유료 결제 아이템,
,,24,유료 콘텐츠 휴대폰 통화 연결음,
,,25,유료 콘텐츠 성인용 콘텐츠,
,,26,기타,
289.0,인터넷쇼핑 구매품목_22),1,"의류, 신발, 스포츠용품, 액세서리",Y34_1_22
,,2,생활/주방 용품,
,,3,유·아동 용품,
,,4,"식재료, 음식",
,,5,건강관련제품,
,,6,화장품,
,,7,"가전, 전자제품(TV, 냉장고, 세탁기 등)",
,,8,"가구, 인테리어 용품",
,,9,컴퓨터 및 컴퓨터 주변기기,
,,10,"모바일, PC, 콘솔 게임 소프트웨어",
,,11,소프트웨어(게임 제외),
,,12,구독형 소프트웨어 서비스,
,,13,교환권,
,,14,금융 상품(보험가입 및 주식거래),
,,15,교육,
,,16,"여행 상품(패키지, 숙소, 교통, 렌터카 등)",
,,17,"도서, 잡지, 신문 (웹툰, 만화 등 제외)",
,,18,"영화(티켓), 전시, 문화공연",
,,19,"영화(콘텐츠), 동영상, 이미지",
,,20,음악(음원 사이트 이용 등),
,,21,유료 콘텐츠 이모티콘,
,,22,유료 콘텐츠 웹툰·만화,
,,23,유료 콘텐츠 게임 내 유료 결제 아이템,
,,24,유료 콘텐츠 휴대폰 통화 연결음,
,,25,유료 콘텐츠 성인용 콘텐츠,
,,26,기타,
290.0,인터넷쇼핑 구매품목_23),1,"의류, 신발, 스포츠용품, 액세서리",Y34_1_23
,,2,생활/주방 용품,
,,3,유·아동 용품,
,,4,"식재료, 음식",
,,5,건강관련제품,
,,6,화장품,
,,7,"가전, 전자제품(TV, 냉장고, 세탁기 등)",
,,8,"가구, 인테리어 용품",
,,9,컴퓨터 및 컴퓨터 주변기기,
,,10,"모바일, PC, 콘솔 게임 소프트웨어",
,,11,소프트웨어(게임 제외),
,,12,구독형 소프트웨어 서비스,
,,13,교환권,
,,14,금융 상품(보험가입 및 주식거래),
,,15,교육,
,,16,"여행 상품(패키지, 숙소, 교통, 렌터카 등)",
,,17,"도서, 잡지, 신문 (웹툰, 만화 등 제외)",
,,18,"영화(티켓), 전시, 문화공연",
,,19,"영화(콘텐츠), 동영상, 이미지",
,,20,음악(음원 사이트 이용 등),
,,21,유료 콘텐츠 이모티콘,
,,22,유료 콘텐츠 웹툰·만화,
,,23,유료 콘텐츠 게임 내 유료 결제 아이템,
,,24,유료 콘텐츠 휴대폰 통화 연결음,
,,25,유료 콘텐츠 성인용 콘텐츠,
,,26,기타,
291.0,인터넷쇼핑 구매품목_24),1,"의류, 신발, 스포츠용품, 액세서리",Y34_1_24
,,2,생활/주방 용품,
,,3,유·아동 용품,
,,4,"식재료, 음식",
,,5,건강관련제품,
,,6,화장품,
,,7,"가전, 전자제품(TV, 냉장고, 세탁기 등)",
,,8,"가구, 인테리어 용품",
,,9,컴퓨터 및 컴퓨터 주변기기,
,,10,"모바일, PC, 콘솔 게임 소프트웨어",
,,11,소프트웨어(게임 제외),
,,12,구독형 소프트웨어 서비스,
,,13,교환권,
,,14,금융 상품(보험가입 및 주식거래),
,,15,교육,
,,16,"여행 상품(패키지, 숙소, 교통, 렌터카 등)",
,,17,"도서, 잡지, 신문 (웹툰, 만화 등 제외)",
,,18,"영화(티켓), 전시, 문화공연",
,,19,"영화(콘텐츠), 동영상, 이미지",
,,20,음악(음원 사이트 이용 등),
,,21,유료 콘텐츠 이모티콘,
,,22,유료 콘텐츠 웹툰·만화,
,,23,유료 콘텐츠 게임 내 유료 결제 아이템,
,,24,유료 콘텐츠 휴대폰 통화 연결음,
,,25,유료 콘텐츠 성인용 콘텐츠,
,,26,기타,
292.0,인터넷쇼핑 구매품목_25),1,"의류, 신발, 스포츠용품, 액세서리",Y34_1_25
,,2,생활/주방 용품,
,,3,유·아동 용품,
,,4,"식재료, 음식",
,,5,건강관련제품,
,,6,화장품,
,,7,"가전, 전자제품(TV, 냉장고, 세탁기 등)",
,,8,"가구, 인테리어 용품",
,,9,컴퓨터 및 컴퓨터 주변기기,
,,10,"모바일, PC, 콘솔 게임 소프트웨어",
,,11,소프트웨어(게임 제외),
,,12,구독형 소프트웨어 서비스,
,,13,교환권,
,,14,금융 상품(보험가입 및 주식거래),
,,15,교육,
,,16,"여행 상품(패키지, 숙소, 교통, 렌터카 등)",
,,17,"도서, 잡지, 신문 (웹툰, 만화 등 제외)",
,,18,"영화(티켓), 전시, 문화공연",
,,19,"영화(콘텐츠), 동영상, 이미지",
,,20,음악(음원 사이트 이용 등),
,,21,유료 콘텐츠 이모티콘,
,,22,유료 콘텐츠 웹툰·만화,
,,23,유료 콘텐츠 게임 내 유료 결제 아이템,
,,24,유료 콘텐츠 휴대폰 통화 연결음,
,,25,유료 콘텐츠 성인용 콘텐츠,
,,26,기타,
