연번,항목명,코드값,데이터변수명,코드값 설명
,,4,,스마트TV (인터넷 가능함)
,,5,,"게임기(플레이스테이션, PSP, XBOX, 닌텐도 3DS, 닌텐도 스위치 등)"
,,6,,스마트폰
,,7,,"태블릿PC(갤럭시탭, 아이패드 등 태블릿)"
,,8,,"인공 지능 스피커(SK텔레콤 누구(NUGU), KT 기가지니, 애플 홈팟, 네이버 클로바, 카카오미니 등)"
,,9,,"전자책 단말기(리디북스 페이퍼 프로, 크레마, 아이리버 샘, 킨들, 코보 등)"
,,10,,"스마트 가전(냉장고, 에어컨, 세탁기, 전등 등)"
,,11,,"AI 로봇(AI 로봇청소기, AI 돌봄/반려 로봇, AI 장난감 로봇 등)"
,,9997,,기타
,,9998,,보유기기 전혀 없음
17.0,가구 인터넷 접속  가능 여부,1,Q2,예
,,2,,아니오
18.0,가구 인터넷 접속  가능 방법_1),1,Q3_1,유선인터넷
,,2,,"무선랜(와이파이, 기가와이파이 포함)"
,,3,,"모바일 인터넷(3G, LTE, 5G 등)"
,,4,,"이동형 무선인터넷 공유기(KT 에그, LG U+ 라우터, 와이드모바일 와이파이 도시락 등)"
,,5,,기타
,,9999,,잘 모름
19.0,가구 인터넷 접속  가능 방법_2),1,Q3_2,유선인터넷
,,2,,"무선랜(와이파이, 기가와이파이 포함)"
,,3,,"모바일 인터넷(3G, LTE, 5G 등)"
,,4,,"이동형 무선인터넷 공유기(KT 에그, LG U+ 라우터, 와이드모바일 와이파이 도시락 등)"
,,5,,기타
,,9999,,잘 모름
20.0,가구 인터넷 접속  가능 방법_3),1,Q3_3,유선인터넷
,,2,,"무선랜(와이파이, 기가와이파이 포함)"
,,3,,"모바일 인터넷(3G, LTE, 5G 등)"
,,4,,"이동형 무선인터넷 공유기(KT 에그, LG U+ 라우터, 와이드모바일 와이파이 도시락 등)"
,,5,,기타
,,9999,,잘 모름
21.0,가구 인터넷 접속  가능 방법_4),1,Q3_4,유선인터넷
,,2,,"무선랜(와이파이, 기가와이파이 포함)"
,,3,,"모바일 인터넷(3G, LTE, 5G 등)"
,,4,,"이동형 무선인터넷 공유기(KT 에그, LG U+ 라우터, 와이드모바일 와이파이 도시락 등)"
,,5,,기타
,,9999,,잘 모름
22.0,가구 인터넷 접속  가능 방법_5,1,Q3_5,유선인터넷
,,2,,"무선랜(와이파이, 기가와이파이 포함)"
,,3,,"모바일 인터넷(3G, LTE, 5G 등)"
,,4,,"이동형 무선인터넷 공유기(KT 에그, LG U+ 라우터, 와이드모바일 와이파이 도시락 등)"
,,5,,기타
,,9999,,잘 모름
23.0,가구 인터넷 접속  가능 방법_기타,-,Q3_5_TXT,-
24.0,가구 인터넷 접속  가능 방법_9999,1,Q3_9999,유선인터넷
,,2,,"무선랜(와이파이, 기가와이파이 포함)"
,,3,,"모바일 인터넷(3G, LTE, 5G 등)"
,,4,,"이동형 무선인터넷 공유기(KT 에그, LG U+ 라우터, 와이드모바일 와이파이 도시락 등)"
,,5,,기타
,,9999,,잘 모름
25.0,가구 인터넷 접속  가능 방법_잘 모르겠음,-,Q3_9999_TXT,-
26.0,가구 이용 가능  정보통신 서비스_1),1,Q4_1,일반 집전화
,,2,,"인터넷 전화(VoIP) (LG U+ 070, KT 올레 인터넷전화,SK 브로드밴드 B인터넷전화)"
,,3,,이동전화(스마트폰 포함)
,,4,,"유선 인터넷 (KT 올레 인터넷, SK 브로드밴드 인터넷, LG U+ 인터넷, LG 헬로비전 인터넷 등)"
,,5,,"IPTV (KT 올레 TV, SK 브로드밴드 BTV, LG U+ tvG 등)"
,,6,,"케이블TV(유선방송) (LG 헬로비전, SK브로드밴드, 딜라이브, CMB, 현대HCN 등)"
,,7,,위성방송 (KT 스카이라이프)
,,8,,"IoT서비스 (CCTV, 조명, 가스, 냉·난방 등 원격 제어 기능 이용, LG IoT@Home, SKT SMART HOME, KT GIGA IoT 등)"
,,9998,,해당 사항 없음
27.0,가구 이용 가능  정보통신 서비스_2),1,Q4_2,일반 집전화
,,2,,"인터넷 전화(VoIP) (LG U+ 070, KT 올레 인터넷전화,SK 브로드밴드 B인터넷전화)"
,,3,,이동전화(스마트폰 포함)
,,4,,"유선 인터넷 (KT 올레 인터넷, SK 브로드밴드 인터넷, LG U+ 인터넷, LG 헬로비전 인터넷 등)"
,,5,,"IPTV (KT 올레 TV, SK 브로드밴드 BTV, LG U+ tvG 등)"
,,6,,"케이블TV(유선방송) (LG 헬로비전, SK브로드밴드, 딜라이브, CMB, 현대HCN 등)"
,,7,,위성방송 (KT 스카이라이프)
,,8,,"IoT서비스 (CCTV, 조명, 가스, 냉·난방 등 원격 제어 기능 이용, LG IoT@Home, SKT SMART HOME, KT GIGA IoT 등)"
,,9998,,해당 사항 없음
28.0,가구 이용 가능  정보통신 서비스_3),1,Q4_3,일반 집전화
,,2,,"인터넷 전화(VoIP) (LG U+ 070, KT 올레 인터넷전화,SK 브로드밴드 B인터넷전화)"
,,3,,이동전화(스마트폰 포함)
