"특성별(1)",특성별(2),2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
"특성별(1)",특성별(2),1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위
"특성별(1)",특성별(2),사례수 (명),직접방문 전화가 보다 편리할 것 같아서 (%),PC 및 인터넷 사용에 익숙하지 않아서 (%),인증 및 절차 등이 복잡해서 (%),필요한 정보나 서비스가 어디서 제공되는지 몰라서 (%),관련 정보나 이용절차 등을 자세히 안내받을 수 없어서 (%),주민등록번호 계좌번호 등 개인정보 유출이 걱정되어서 (%),관련되는 일이나 다른 일을 즉각적으로 처리할 수 없어서 (%),높은 품질의 정보나 온라인 서비스를 찾을 수 있다고 기대하지 않아서 (%),세무사 법무사 등 분야별 전문가 및 전문대행사 등이 대신 수행하고 있기 때문에 (%),추가적으로 비용이 소요되어서 (%),사례수 (명),직접방문 전화가 보다 편리할 것 같아서 (%),PC 및 인터넷 사용에 익숙하지 않아서 (%),인증 및 절차 등이 복잡해서 (%),필요한 정보나 서비스가 어디서 제공되는지 몰라서 (%),관련 정보나 이용절차 등을 자세히 안내받을 수 없어서 (%),주민등록번호 계좌번호 등 개인정보 유출이 걱정되어서 (%),관련되는 일이나 다른 일을 즉각적으로 처리할 수 없어서 (%),높은 품질의 정보나 온라인 서비스를 찾을 수 있다고 기대하지 않아서 (%),세무사 법무사 등 분야별 전문가 및 전문대행사 등이 대신 수행하고 있기 때문에 (%),추가적으로 비용이 소요되어서 (%),사례수 (명),직접방문 전화가 보다 편리할 것 같아서 (%),PC 및 인터넷 사용에 익숙하지 않아서 (%),인증 및 절차 등이 복잡해서 (%),필요한 정보나 서비스가 어디서 제공되는지 몰라서 (%),관련 정보나 이용절차 등을 자세히 안내받을 수 없어서 (%),주민등록번호 계좌번호 등 개인정보 유출이 걱정되어서 (%),관련되는 일이나 다른 일을 즉각적으로 처리할 수 없어서 (%),높은 품질의 정보나 온라인 서비스를 찾을 수 있다고 기대하지 않아서 (%),세무사 법무사 등 분야별 전문가 및 전문대행사 등이 대신 수행하고 있기 때문에 (%),추가적으로 비용이 소요되어서 (%)
"교육수준별",대졸이상,564869,53.5,18.9,31.4,28.5,33.1,38.0,33.6,16.6,19.8,26.7,564869,12.4,5.1,12.9,12.5,8.9,19.7,23.4,0.0,3.7,1.5,564869,41.8,8.9,21.3,19.2,17.2,22.6,30.8,9.8,10.6,17.8
"직업별",관리자,51363,0.0,18.5,18.5,40.8,40.8,0.0,59.2,81.5,40.8,0.0,51363,0.0,18.5,0.0,40.8,40.8,0.0,0.0,0.0,0.0,0.0,51363,0.0,18.5,0.0,40.8,40.8,0.0,18.5,81.5,0.0,0.0
"직업별",전문가 및 관련 종사자,10818,59.5,0.0,59.5,100.0,40.5,40.5,0.0,0.0,0.0,0.0,10818,0.0,0.0,59.5,0.0,0.0,40.5,0.0,0.0,0.0,0.0,10818,59.5,0.0,59.5,0.0,40.5,40.5,0.0,0.0,0.0,0.0
"직업별",사무 종사자,211646,50.8,13.1,19.5,29.1,33.1,44.1,47.9,12.7,9.8,39.7,211646,0.0,0.0,13.3,0.0,10.0,16.1,47.9,2.9,9.8,0.0,211646,38.0,0.0,16.5,19.1,20.0,16.1,47.9,12.7,9.8,19.8
"직업별",서비스 종사자,454247,66.4,30.3,38.2,25.7,31.9,19.7,22.4,31.4,17.5,16.5,454247,15.5,13.7,12.8,11.8,1.4,4.6,12.4,13.9,4.6,9.2,454247,50.4,24.0,18.3,14.5,15.3,12.9,21.6,17.2,9.2,16.5
"직업별",판매 종사자,310588,40.4,56.1,55.7,49.6,14.3,41.9,10.8,13.3,8.4,9.4,310588,21.8,35.6,9.9,7.5,0.0,7.6,5.3,2.4,3.1,6.7,310588,28.6,51.0,31.7,26.1,5.6,26.5,5.3,7.6,8.4,9.4
"직업별",농림어업 숙련 종사자,144553,42.0,47.0,73.9,42.1,5.6,63.6,0.0,10.7,15.1,0.0,144553,5.4,14.6,14.5,22.0,0.0,40.8,0.0,0.0,2.8,0.0,144553,22.0,21.5,45.8,39.3,0.0,55.4,0.0,10.7,5.3,0.0
"직업별",기능원 및 관련 기능 종사자,214346,49.6,32.3,67.8,34.4,18.5,42.9,34.9,7.9,4.1,7.6,214346,18.1,3.0,32.5,22.0,3.8,4.4,8.2,7.9,0.0,0.0,214346,22.5,27.9,64.1,29.9,10.6,16.7,12.6,7.9,4.1,3.8
"직업별",장치·기계 조작 및 조립 종사자,108370,57.5,30.0,14.7,61.9,36.9,14.4,28.3,19.2,23.3,13.8,108370,19.3,21.2,8.8,7.8,19.2,8.8,0.0,0.0,8.9,6.0,108370,51.5,21.2,14.7,27.0,28.1,14.4,19.3,0.0,17.8,6.0
"직업별",단순 노무 종사자,283627,53.6,58.6,59.1,65.9,32.7,24.2,0.0,2.9,0.0,3.0,283627,20.7,26.6,30.2,17.4,0.0,5.1,0.0,0.0,0.0,0.0,283627,34.3,52.3,43.2,37.6,14.8,12.0,0.0,2.9,0.0,3.0
"직업별",학생,447758,44.8,2.3,42.4,66.4,48.8,25.9,30.1,21.3,3.5,14.5,447758,20.1,2.3,15.9,25.9,6.4,4.9,7.1,14.0,3.5,0.0,447758,27.6,2.3,30.8,53.1,30.4,15.7,17.5,19.2,3.5,0.0
"직업별",전업주부,796078,47.5,55.6,36.2,27.9,25.9,39.5,31.2,14.1,8.0,14.0,796078,17.2,31.4,8.9,7.3,3.8,9.8,7.4,5.3,2.0,6.8,796078,33.3,46.8,21.9,19.3,8.1,24.1,20.5,8.1,4.8,12.9
