"특성별(1)",특성별(2),2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
"특성별(1)",특성별(2),1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위
"특성별(1)",특성별(2),사례수 (명),정부24 (%),국민신문고 (%),안전신문고 (%),국세청 홈택스(손택스) (%),스마트 위택스 (%),우체국 우체국스마트뱅킹 우체국보험 우체국쇼핑몰 (%),코레일톡 SRT (%),청약홈 (%),임신육아종합포털(아이사랑) (%),대한민국구석구석 (%),복지로 (%),나이스플러스 (%),내 곁에 국민연금 (%),모바일 신분증(모바일 운전면허증·공무원증·국가보훈등록증) (%),The건강보험 (%),대법원 인터넷 등기소 (%),고용24 (%),기상청 날씨알리미 (%),없음 (%),사례수 (명),정부24 (%),국민신문고 (%),안전신문고 (%),국세청 홈택스(손택스) (%),스마트 위택스 (%),우체국 우체국스마트뱅킹 우체국보험 우체국쇼핑몰 (%),코레일톡 SRT (%),청약홈 (%),복지로 (%),나이스플러스 (%),내 곁에 국민연금 (%),모바일 신분증(모바일 운전면허증·공무원증·국가보훈등록증) (%),The건강보험 (%),대법원 인터넷 등기소 (%),기상청 날씨알리미 (%),없음 (%),사례수 (명),정부24 (%),국민신문고 (%),안전신문고 (%),국세청 홈택스(손택스) (%),스마트 위택스 (%),우체국 우체국스마트뱅킹 우체국보험 우체국쇼핑몰 (%),코레일톡 SRT (%),청약홈 (%),대한민국구석구석 (%),복지로 (%),나이스플러스 (%),내 곁에 국민연금 (%),모바일 신분증(모바일 운전면허증·공무원증·국가보훈등록증) (%),The건강보험 (%),대법원 인터넷 등기소 (%),고용24 (%),기상청 날씨알리미 (%),없음 (%)
"성?연령별",여성 30~39세,69259,0.0,30.5,60.9,0.0,108.8,0.0,0.0,30.5,0.0,0.0,6.0,0.0,0.0,18.3,0.0,0.0,0.0,0.0,130.5,69259,0.0,30.5,0.0,0.0,54.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.6,69259,0.0,30.5,30.5,0.0,108.8,0.0,0.0,0.0,0.0,6.0,0.0,0.0,18.3,0.0,0.0,0.0,0.0,66.9
"성?연령별",여성 40~49세,88698,28.4,31.9,0.0,0.0,58.1,7.6,0.0,0.0,0.0,0.0,15.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0,88698,4.4,10.6,0.0,0.0,19.4,0.0,0.0,0.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,58.0,88698,16.4,21.3,0.0,0.0,38.8,7.6,0.0,0.0,0.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0
"성?연령별",여성 50~59세,59624,37.9,0.0,0.0,11.6,35.3,22.2,105.9,23.3,0.0,0.0,11.1,11.1,0.0,0.0,0.0,0.0,0.0,0.0,97.3,59624,24.5,0.0,0.0,0.0,0.0,11.1,35.3,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.5,59624,31.2,0.0,0.0,11.6,35.3,11.1,70.6,23.3,0.0,11.1,11.1,0.0,0.0,0.0,0.0,0.0,0.0,57.1
"성?연령별",여성 60~74세,166679,52.3,30.2,0.0,16.3,4.1,0.0,4.0,4.0,0.0,0.0,12.2,0.0,0.0,0.0,10.1,0.0,4.0,54.5,101.5,166679,23.2,10.1,0.0,4.1,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,10.1,0.0,18.2,30.5,166679,35.7,20.1,0.0,12.2,0.0,0.0,4.0,4.0,0.0,4.1,0.0,0.0,0.0,10.1,0.0,0.0,36.3,71.0
"교육수준별",중졸이하,150651,34.7,85.1,0.0,18.0,4.5,4.4,18.6,4.4,0.0,0.0,13.5,0.0,0.0,0.0,0.0,0.0,4.4,93.8,34.3,150651,30.3,28.4,0.0,4.5,0.0,4.4,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,26.1,6.3,150651,30.3,56.7,0.0,13.5,0.0,4.4,18.6,4.4,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,60.0,23.4
"교육수준별",고졸,436596,47.7,2.0,0.0,12.2,11.7,3.1,19.0,6.3,0.0,0.0,12.6,1.5,3.0,4.6,14.3,3.8,1.5,6.4,169.0,436596,15.8,0.0,0.0,5.7,4.9,0.0,6.3,3.1,6.0,0.0,1.0,1.6,7.6,3.8,2.1,55.7,436596,31.8,0.0,0.0,9.7,10.7,1.5,11.1,6.3,0.0,9.5,1.5,2.0,4.6,11.4,3.8,1.5,4.3,116.6
"교육수준별",대졸이상,331773,43.2,19.4,15.7,13.2,40.6,0.0,30.5,10.5,2.1,3.0,1.2,4.2,2.4,8.5,0.0,0.0,0.0,3.7,124.0,331773,21.6,15.7,3.0,4.9,16.5,0.0,9.5,2.1,0.0,2.1,2.4,0.0,0.0,0.0,0.0,35.6,331773,31.7,17.6,9.3,8.0,35.5,0.0,20.9,4.2,3.0,1.2,4.2,2.4,4.0,0.0,0.0,0.0,1.9,78.7
"직업별",전문가 및 관련 종사자,6436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,6436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,6436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0
"직업별",사무 종사자,160635,74.7,15.7,6.1,10.0,0.0,0.0,54.4,0.0,0.0,6.1,10.9,8.7,0.0,4.0,0.0,0.0,0.0,7.7,111.0,160635,43.3,10.3,6.1,5.8,0.0,0.0,15.4,0.0,5.4,4.3,0.0,0.0,0.0,0.0,0.0,25.1,160635,64.2,10.3,6.1,7.9,0.0,0.0,34.7,0.0,6.1,10.9,8.7,0.0,4.0,0.0,0.0,0.0,3.8,63.0
"직업별",서비스 종사자,201955,49.3,10.4,20.9,5.3,71.2,0.0,0.0,17.3,0.0,0.0,0.0,0.0,0.0,0.0,8.3,8.3,0.0,0.0,127.6,201955,14.3,10.4,0.0,1.8,35.5,0.0,0.0,3.4,0.0,0.0,0.0,0.0,8.3,8.3,0.0,36.6,201955,26.6,10.4,10.4,5.3,62.7,0.0,0.0,6.9,0.0,0.0,0.0,0.0,0.0,8.3,8.3,0.0,0.0,89.8
